Comment,Designator,Footprint,LCSC
"1u","C4","Capacitors_SMD:C_0603",""
"100n","C5,C6","Capacitors_SMD:C_0603",""
"D","D0:7,D0:8,D0:9,D0:10,D0:11,D0:12,D1:7,D1:8,D1:9,D2:7,D2:8,D2:9,D3:8,D3:9,D4:7,D4:8,D4:9,D5:7,D5:8,D5:9,D1:10,D1:11,D1:12,D1:13,D2:10,D2:11,D2:12,D2:13,D3:10,D3:11,D3:12,D3:13,D4:10,D4:11,D4:12,D4:13,D5:10,D5:11,D5:12,D5:13","Diodes_SMD:D_SOD-123",""
"AudioJack4","J1","ErgoDOX:54-00174",""
"LED","LED_B1,LED_A1","LEDs:LED_0603",""
"1k","R3,R4,R6,R7","Resistors_SMD:R_0603",""
"SW0:3","SW0:10","ErgoDOX:MX_TOP",""
"SW0:2","SW0:11","ErgoDOX:MX_TOP",""
"SW0:1","SW0:12","ErgoDOX:MX_TOP",""
"SW0:6","SW0:7","ErgoDOX:MX_TOP",""
"SW0:5","SW0:8","ErgoDOX:MX_TOP",""
"SW0:4","SW0:9","ErgoDOX:MX_TOP",""
"SW1:3","SW1:10","ErgoDOX:MX_TOP",""
"SW1:2","SW1:11","ErgoDOX:MX_TOP",""
"SW1:1","SW1:12","ErgoDOX:MX_TOP",""
"SW1:0","SW1:13","ErgoDOX:MX_TOP",""
"SW1:4","SW1:9","ErgoDOX:MX_TOP",""
"SW2:3","SW2:10","ErgoDOX:MX_TOP",""
"SW2:2","SW2:11","ErgoDOX:MX_TOP",""
"SW2:1","SW2:12","ErgoDOX:MX_TOP",""
"SW2:0","SW2:13","ErgoDOX:MX_TOP",""
"SW2:6","SW2:7","ErgoDOX:MX_TOP",""
"SW2:5","SW2:8","ErgoDOX:MX_TOP",""
"SW2:4","SW2:9","ErgoDOX:MX_TOP",""
"SW3:3","SW3:10","ErgoDOX:MX_TOP",""
"SW3:2","SW3:11","ErgoDOX:MX_TOP",""
"SW3:1","SW3:12","ErgoDOX:MX_TOP",""
"SW3:0","SW3:13","ErgoDOX:MX_TOP",""
"SW3:5","SW3:8","ErgoDOX:MX_TOP",""
"SW3:4","SW3:9","ErgoDOX:MX_TOP",""
"SW4:3","SW4:10","ErgoDOX:MX_TOP",""
"SW4:2","SW4:11","ErgoDOX:MX_TOP",""
"SW4:1","SW4:12","ErgoDOX:MX_TOP",""
"SW4:0","SW4:13","ErgoDOX:MX_TOP",""
"SW4:6","SW4:7","ErgoDOX:MX_TOP",""
"SW4:5","SW4:8","ErgoDOX:MX_TOP",""
"SW4:4","SW4:9","ErgoDOX:MX_TOP",""
"SW5:3","SW5:10","ErgoDOX:MX_TOP",""
"SW5:2","SW5:11","ErgoDOX:MX_TOP",""
"SW5:1","SW5:12","ErgoDOX:MX_TOP",""
"SW5:0","SW5:13","ErgoDOX:MX_TOP",""
"SW5:6","SW5:7","ErgoDOX:MX_TOP",""
"SW5:5","SW5:8","ErgoDOX:MX_TOP",""
"SW5:4","SW5:9","ErgoDOX:MX_TOP",""
"SX1:6","SX1:7","ErgoDOX:MX_TOP",""
"SX1:5","SX1:8","ErgoDOX:MX_TOP",""
"MCP23018","U2","Housings_SOIC:SOIC-28W_7.5x17.9mm_Pitch1.27mm",""